Thickness(A)	Material
0	a-Si
20.	Pt
40.	a-C
20.	Pt
40.	a-C
20.	Pt
40.	a-C
20.	Pt
40.	a-C
20.	Pt
40.	a-C
20.	Pt
40.	a-C
20.	Pt
40.	a-C
20.	Pt
40.	a-C
20.	Pt
40.	a-C
20.	Pt
40.	a-C
